tomo_id,tp,fp,fn,precision,recall,f1,f2,num_pred,num_gt,pred_coords_vox,gt_coords_vox
tomo_02862f,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.6249999929687501,4,1,"[[52, 46, 16], [42, 89, 81], [69, 92, 80], [91, 92, 78]]","[[15, 47, 17]]"
tomo_03437b,1,8,0,0.1111111109876543,0.9999999900000002,0.1999999978,0.38461538047337274,9,1,"[[65, 57, 29], [42, 61, 28], [86, 58, 29], [27, 61, 30], [72, 112, 87], [31, 53, 39], [31, 109, 91], [30, 113, 83], [29, 113, 86]]","[[52, 115, 86]]"
tomo_04d42b,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_05b39c,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_072a16,0,3,0,0.0,1.0,0.0,0.0,3,0,"[[118, 55, 89], [121, 53, 87], [121, 49, 84]]",[]
tomo_081a2d,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.6249999929687501,4,1,"[[59, 43, 89], [62, 38, 49], [51, 36, 53], [70, 37, 57]]","[[66, 42, 90]]"
tomo_0eb994,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[75, 111, 87]]"
tomo_12f896,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[9, 54, 29]]"
tomo_136c8d,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_138018,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.6249999929687501,4,1,"[[72, 31, 65], [69, 42, 36], [66, 33, 74], [49, 41, 38]]","[[58, 31, 63]]"
tomo_161683,1,18,0,0.05263157891966759,0.9999999900000002,0.09999999895000002,0.21739130207939508,19,1,"[[105, 21, 52], [37, 104, 79], [42, 103, 75], [59, 18, 55], [62, 22, 51], [35, 102, 72], [82, 18, 57], [40, 21, 53], [61, 102, 72], [89, 19, 54], [19, 103, 75], [78, 102, 74], [71, 72, 39], [69, 65, 38], [50, 67, 37], [68, 61, 39], [48, 61, 38], [24, 64, 38], [17, 69, 38]]","[[100, 20, 51]]"
tomo_16fce8,0,9,0,0.0,1.0,0.0,0.0,9,0,"[[10, 77, 56], [66, 81, 68], [68, 80, 58], [83, 72, 54], [12, 80, 68], [61, 69, 53], [53, 74, 52], [116, 68, 58], [48, 81, 67]]",[]
tomo_19a313,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[0, 80, 41]]"
tomo_1c75ac,0,3,0,0.0,1.0,0.0,0.0,3,0,"[[77, 79, 40], [62, 83, 42], [57, 79, 38]]",[]
tomo_1cc887,1,21,0,0.045454545433884296,0.9999999900000002,0.08695652083175803,0.19230769031065087,22,1,"[[39, 82, 25], [56, 85, 25], [109, 16, 79], [36, 101, 113], [33, 44, 108], [36, 47, 111], [70, 74, 27], [82, 95, 115], [64, 100, 114], [89, 49, 113], [78, 41, 112], [85, 16, 80], [58, 48, 113], [48, 110, 110], [85, 69, 32], [107, 93, 113], [112, 97, 115], [53, 53, 113], [85, 58, 111], [75, 21, 68], [67, 111, 102], [39, 58, 110]]","[[57, 92, 26]]"
tomo_1e9980,0,4,0,0.0,1.0,0.0,0.0,4,0,"[[116, 75, 54], [119, 65, 51], [119, 68, 51], [96, 68, 51]]",[]
tomo_1f0e78,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.6249999929687501,4,1,"[[74, 87, 103], [70, 85, 105], [45, 87, 105], [44, 104, 35]]","[[26, 106, 36]]"
tomo_221a47,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9999999880000001,1,1,"[[61, 38, 70]]","[[80, 43, 78]]"
tomo_225d8f,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[0, 64, 69]]"
tomo_2645a0,0,6,0,0.0,1.0,0.0,0.0,6,0,"[[119, 88, 48], [56, 82, 42], [80, 80, 41], [81, 88, 46], [35, 84, 45], [72, 95, 57]]",[]
tomo_288d4f,0,7,0,0.0,1.0,0.0,0.0,7,0,"[[121, 64, 81], [117, 87, 80], [120, 79, 83], [75, 62, 81], [48, 71, 81], [55, 67, 81], [122, 83, 63]]",[]
tomo_28f9c1,0,0,0,1.0,1.0,1.0,1.0,0,0,[],[]
tomo_2a6091,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9999999880000001,1,1,"[[121, 62, 81]]","[[99, 66, 88]]"
tomo_2a6ca2,0,3,1,0.0,0.0,0.0,0.0,3,1,"[[6, 104, 44], [5, 103, 40], [4, 100, 22]]","[[0, 70, 48]]"
tomo_2acf68,0,0,1,0.0,0.0,0.0,0.0,0,1,[],"[[49, 45, 94]]"
